name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
stockholm,2022-01-01,1.3,-1.7,-0.8,-1.2,-6.1,-3.8,-3.5,81.9,0.345,100,20.83,"rain,snow",2,0.7,35.2,19.1,340.8,1016.3,100,26.9,19.6,0.5,0,,2022-01-01T08:44:07,2022-01-01T14:58:43,0.95,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-01-02,4.7,-0.5,2.3,4.5,-5.4,-0.2,2,97.7,4.827,100,58.33,"rain,snow",1.2,2.2,35.4,18.5,158.8,1001.9,88.1,5.2,19,0.4,0,,2022-01-02T08:43:39,2022-01-02T15:00:08,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB,F4490"
stockholm,2022-01-03,5.1,3.7,4.5,4.7,0.4,2.6,3.8,95.3,1.732,100,20.83,rain,0,0.2,25.1,13.4,215.2,990.8,94,15.6,16.1,0.4,0,,2022-01-03T08:43:06,2022-01-03T15:01:38,0.02,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-01-04,4.7,-0.7,1.7,1.5,-4.1,-1.8,-0.6,84.9,1.339,100,12.5,rain,0,0,40.2,19.7,213.6,984.8,30,23.2,27.9,0.7,0,,2022-01-04T08:42:28,2022-01-04T15:03:12,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-01-05,0.6,-5.2,-1.4,0.5,-11.7,-4.8,-2.6,91.5,1.186,100,41.67,"rain,snow",3,1,35.8,20.1,294.5,985.9,86,17.9,17.9,0.5,0,,2022-01-05T08:41:45,2022-01-05T15:04:50,0.09,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-01-06,-4.7,-7.7,-5.8,-9.4,-13.3,-11.5,-9.1,77.8,0,0,0,,1.8,4.5,43.5,23.7,295,1004.1,24,30,32.3,0.7,1,,2022-01-06T08:40:57,2022-01-06T15:06:32,0.12,Partially cloudy,Partly cloudy throughout the day.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-01-07,-1.8,-11.9,-5.7,-5.2,-12.2,-8.3,-8.4,81.9,0.663,100,16.67,"rain,snow",1.3,5.2,28.3,16.5,89.6,1008.9,42.3,26.3,30,0.7,1,,2022-01-07T08:40:05,2022-01-07T15:08:18,0.15,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-01-08,0.9,-1.6,0.2,0.9,-6.6,-1.5,-0.3,96.5,4.403,100,37.5,"rain,snow",0.9,6.6,30.4,17.2,114.9,1002.5,92.8,6.3,14.1,0.3,0,,2022-01-08T08:39:08,2022-01-08T15:10:07,0.19,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB,F4490"
stockholm,2022-01-09,0.9,-1.6,-0.3,0.9,-5,-2.2,-1.2,93.1,0,0,0,,0,6,28,13.3,37.6,1006.3,97,14,16.6,0.3,0,,2022-01-09T08:38:07,2022-01-09T15:11:59,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-01-10,-1,-3.4,-1.7,-1.9,-5.2,-3.8,-3.5,87.1,0,0,0,,0,5.9,18.8,10.2,17.9,1027.5,89,21.8,28.1,0.6,1,,2022-01-10T08:37:01,2022-01-10T15:13:55,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-01-11,0.9,-3.9,-0.7,-2.5,-6.7,-3.9,-3.4,82.4,0.123,100,8.33,"rain,snow",0,5.2,30.7,16.1,182.9,1032.2,74.2,23.3,37,1,1,,2022-01-11T08:35:51,2022-01-11T15:15:54,0.29,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-01-12,4.9,0,2,1.1,-3.5,-1.6,0.7,91.1,0.08,100,4.17,"rain,snow",0,2,31.1,18.2,227.2,1021.2,95.5,13.1,24,0.6,1,,2022-01-12T08:34:38,2022-01-12T15:17:56,0.32,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-01-13,7.7,5.1,6.7,4.6,1.3,2.9,2.4,74.2,0,0,0,,0,0.2,44.1,31.4,260.5,1007.8,8.6,26.5,39.6,1,1,,2022-01-13T08:33:20,2022-01-13T15:20:00,0.35,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-01-14,7.9,3,4.2,4.1,-3.1,-0.9,-4.1,55.6,0.59,100,8.33,rain,0,0,64.5,38.6,291.7,1006,21.7,29.6,30.1,0.8,1,,2022-01-14T08:31:58,2022-01-14T15:22:07,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-01-15,2.3,-2.7,0.4,-0.9,-5.8,-3.6,-5.6,63.9,0,0,0,,0,0,41.6,24.5,275.3,1018.3,7.4,30,32.2,0.9,1,,2022-01-15T08:30:32,2022-01-15T15:24:17,0.42,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB,F4490"
stockholm,2022-01-16,4.9,-1.3,2.6,0.4,-5.1,-1.2,0.5,85.8,0.619,100,20.83,rain,0,0,45.7,24.6,237.2,1000.7,71.1,24.4,18.6,0.5,0,,2022-01-16T08:29:03,2022-01-16T15:26:29,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-01-17,4.2,0,1.2,-0.8,-6.8,-4.3,-7.2,54.2,0.023,100,4.17,rain,0,0,64.8,36,304,1002.3,26.4,30,42.1,1.2,1,,2022-01-17T08:27:30,2022-01-17T15:28:43,0.48,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-01-18,2.6,-0.8,0.8,-0.6,-4.4,-2.8,-4.6,67.7,0,0,0,,0,0,32.3,17.8,258.9,1021.3,19.1,29.8,54.4,1.5,1,,2022-01-18T08:25:54,2022-01-18T15:30:59,0.5,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-01-19,6.1,1.7,4.1,1.6,-1.5,0.2,1.6,84.1,1.603,100,20.83,rain,1,1.3,51.2,28.8,230.5,1001.2,63.1,20.5,13.3,0.3,0,,2022-01-19T08:24:14,2022-01-19T15:33:17,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-01-20,0.7,-3.7,-2,-4.3,-11.1,-8.7,-4.8,82.5,3.735,100,37.5,"rain,snow",2.3,5.4,66.5,32.2,312.3,994.7,47.3,18.7,38.3,1,1,,2022-01-20T08:22:31,2022-01-20T15:35:37,0.59,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-01-21,-1.3,-4.2,-2.6,-7.2,-9.8,-8.4,-8.8,62.8,0,0,0,,0,4.8,43.2,23.7,309.8,1012.5,2.7,30.4,42.4,1.2,1,,2022-01-21T08:20:45,2022-01-21T15:37:59,0.62,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-01-22,-2.2,-5.8,-3.9,-2.2,-10.2,-7.3,-8.7,69.6,0,0,0,,1.2,4.4,29.7,15.8,282.9,1022.6,44.3,30.4,36.6,1.2,1,,2022-01-22T08:18:56,2022-01-22T15:40:22,0.66,Partially cloudy,Partly cloudy throughout the day.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-01-23,1.7,-3.5,-0.5,-0.4,-5.8,-3.3,-2,89.5,0,0,0,,0.7,5.3,23.6,14.5,240.9,1023.2,60,21.5,49.9,1.2,1,,2022-01-23T08:17:04,2022-01-23T15:42:46,0.69,Partially cloudy,Partly cloudy throughout the day.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-01-24,5,0.3,3.3,1.4,-3.8,-0.3,1.4,87.4,0,0,0,,0,3.2,44.7,20.4,253,1019.1,59.9,21.3,48.1,1.4,1,,2022-01-24T08:15:09,2022-01-24T15:45:12,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-01-25,2.6,-2.1,0.4,1,-2.6,-1.1,-2.6,81.1,0,0,0,,0,0.3,20.4,13.2,279.1,1022.3,9.2,22.4,53.1,1.5,1,,2022-01-25T08:13:11,2022-01-25T15:47:39,0.75,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-01-26,4,-2.2,1.5,2.7,-4.6,-1.3,-0.6,86.3,0,0,0,,0,0,25.2,15.4,212.5,1009.1,66.1,21.5,17,0.5,0,,2022-01-26T08:11:11,2022-01-26T15:50:07,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-01-27,4.1,0.6,2.3,4.1,-4,-0.6,1,90.9,2.935,100,45.83,"rain,snow",0,0,41.5,21.9,255.8,992.2,81.9,14,23.3,0.6,0,,2022-01-27T08:09:08,2022-01-27T15:52:36,0.83,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-01-28,1.7,-0.9,0.6,-3,-5.5,-4.3,-4.2,71.3,0.069,100,12.5,"rain,snow",0,0,48,27.8,313.6,1009.8,43.7,26.4,56.3,1.8,1,,2022-01-28T08:07:03,2022-01-28T15:55:06,0.87,"Snow, Rain, Partially cloudy",Clearing in the afternoon with rain or snow clearing later.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-01-29,5.7,-0.7,2.4,2.7,-4,-1.5,0.5,87.5,8.426,100,66.67,"rain,snow",0.7,0.4,41,22.4,199,988.5,90,15.5,13.8,0.5,0,,2022-01-29T08:04:55,2022-01-29T15:57:36,0.9,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-01-30,4,-1.8,-0.2,-1.5,-9.2,-6.8,-2.3,86.2,5.625,100,41.67,"rain,snow",0.7,1.8,72.5,42.6,322,988.1,84.1,16.7,26.6,0.6,0,,2022-01-30T08:02:45,2022-01-30T16:00:07,0.94,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-01-31,-0.4,-4.3,-2.4,-6.1,-9.8,-7.7,-6.7,72.9,0.057,100,4.17,snow,0,1.9,40.6,23.5,323.9,1003.5,94.5,30.6,46.6,1.3,1,,2022-01-31T08:00:32,2022-01-31T16:02:39,0.97,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-02-01,-3.1,-5.2,-4.5,-3.1,-10,-6.9,-7.5,79.4,0.097,100,8.33,snow,0,1.9,28.8,14.2,323.4,999.1,57.8,29.1,69.6,2.4,1,,2022-02-01T07:58:18,2022-02-01T16:05:11,0,"Snow, Partially cloudy",Clearing in the afternoon with morning snow.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-02-02,-3.5,-6,-5,-4.8,-10.1,-7.7,-7.8,81.3,0.023,100,4.17,snow,0.6,2.1,22.3,14.6,313.3,1003.4,75,24.8,57.2,1.9,1,,2022-02-02T07:56:01,2022-02-02T16:07:44,0.04,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-02-03,0.1,-4.5,-3.1,-3.2,-7.7,-4.9,-5.5,83.5,0.04,100,8.33,snow,0.4,2.2,23.2,17,120.3,1010.3,95.8,25.2,33.9,1,1,,2022-02-03T07:53:42,2022-02-03T16:10:17,0.07,"Snow, Overcast",Cloudy skies throughout the day with early morning snow.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB,F4490"
stockholm,2022-02-04,3.8,0.6,2.5,0.9,-4.2,-1.5,1.7,94.7,8.406,100,66.67,"rain,snow",0,0.2,41,21.1,160.9,997.4,92.6,11.4,20.1,0.5,0,,2022-02-04T07:51:22,2022-02-04T16:12:51,0.1,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-02-05,3.2,-0.1,1.4,0,-4.5,-2,-1.1,83.6,0,0,0,,0,0,33.7,20.9,237.7,991.8,35,23.4,80.6,2.8,2,,2022-02-05T07:49:00,2022-02-05T16:15:24,0.14,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-02-06,3.8,0.1,2.3,0.4,-3.2,-1.4,-1.2,78.5,1.124,100,12.5,"rain,snow",0,0,41.4,21.3,213.2,982.7,70.2,24.5,71.5,2.6,2,,2022-02-06T07:46:35,2022-02-06T16:17:58,0.17,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB,F4490"
stockholm,2022-02-07,1.7,-1.7,0,0.8,-5,-3.3,-3.8,76.2,0,0,0,,1.2,0.4,36.4,20,279.4,993.8,17.9,29.6,83.4,2.9,2,,2022-02-07T07:44:09,2022-02-07T16:20:32,0.2,Clear,Clear conditions throughout the day.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-02-08,4.7,-1.7,1.7,1.4,-5.2,-1.5,-1.1,82.2,1.59,100,29.17,"rain,snow",0.7,1.4,33.9,21.7,234.8,1001.3,44.7,23.8,65,2.1,2,,2022-02-08T07:41:42,2022-02-08T16:23:05,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB,F4490"
stockholm,2022-02-09,6.4,0.6,3.2,2.5,-2.9,-0.7,-0.9,74.8,0,0,0,,0,0.1,44.4,29.3,238.5,1002,27.6,24.1,81.1,3,2,,2022-02-09T07:39:13,2022-02-09T16:25:39,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-02-10,4.9,0.7,2.8,0.8,-3.2,-1.5,-2.9,66.2,0.995,100,20.83,rain,0,0,47.7,26.4,253,1001.8,0,25.3,101.1,3.6,2,,2022-02-10T07:36:42,2022-02-10T16:28:13,0.3,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-02-11,0.7,-2.1,-0.7,-0.3,-7,-4.4,-6.8,64.7,0,0,0,,0,0,29.2,19.5,273.9,1011.3,0,27.9,101.3,3.6,2,,2022-02-11T07:34:10,2022-02-11T16:30:46,0.33,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-02-12,4.7,-1.9,1.5,0,-7,-2.9,-3.8,67.8,0.068,100,4.17,rain,0.1,0,51,26.1,232.8,1014.8,43.4,24.8,82.6,3,2,,2022-02-12T07:31:36,2022-02-12T16:33:20,0.36,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain or snow.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
stockholm,2022-02-13,4.1,1.3,2.9,0.6,-3.8,-1.4,-1.3,74.1,0,0,0,,0.1,0,43.2,24.4,207.7,1003.5,96.1,26.7,51.8,1.6,1,,2022-02-13T07:29:01,2022-02-13T16:35:53,0.39,Overcast,Cloudy skies throughout the day.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
