name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Manila, National Capital Region, Philippines",2022-01-01,30,24,26.7,31.3,24,27.2,19.5,65.6,0,0,0,,0,0,29.4,22.4,81.7,1015.9,69,9.8,155.4,13.5,8,,2022-01-01T06:21:09,2022-01-01T17:37:52,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,F0027,98433099999,98425099999"
"Manila, National Capital Region, Philippines",2022-01-02,29,24,26.2,30.3,24,26.6,18.8,63.9,0,0,0,,0,0,36,20.9,91.1,1015.1,70.4,10.1,94.8,8.2,3,,2022-01-02T06:21:31,2022-01-02T17:38:26,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-01-03,30.1,23.6,26.6,31.1,23.6,27,18.9,63.5,0,0,0,,0,0,,28.1,89.4,1014.4,51.9,10.2,159.2,13.8,6,,2022-01-03T06:21:53,2022-01-03T17:39:01,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-01-04,31,24,26.8,33,24,27.2,19.8,66.3,0,0,0,,0,0,54,25.5,97.1,1014.4,61.7,10.2,156.7,13.5,7,,2022-01-04T06:22:13,2022-01-04T17:39:36,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-01-05,29.6,24,26.6,31.3,24,27.4,20.3,68.7,0,0,0,,0,0,,19.5,97.3,1014.2,54.7,10.5,166.3,14.4,7,,2022-01-05T06:22:32,2022-01-05T17:40:11,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-01-06,29.5,24.2,26.3,32.3,24.2,27.2,20.8,72,0,0,0,,0,0,,19.7,102.6,1013.3,81,10.2,73.7,6.4,3,,2022-01-06T06:22:51,2022-01-06T17:40:46,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,E0758,98433099999,98425099999"
"Manila, National Capital Region, Philippines",2022-01-07,31,23,26.7,33.7,23,27.6,20.2,67.9,0,0,0,,0,0,,23,117.2,1014.1,41.6,10,157.3,13.6,6,,2022-01-07T06:23:08,2022-01-07T17:41:21,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,E0758,98433099999,98425099999"
"Manila, National Capital Region, Philippines",2022-01-08,31,24,27.1,35.4,24,28.8,21.5,71.8,0.63,100,4.17,rain,0,0,252,18.6,101.5,1013,41.3,10.2,103,8.9,5,,2022-01-08T06:23:24,2022-01-08T17:41:56,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,E0758,98433099999,98425099999"
"Manila, National Capital Region, Philippines",2022-01-09,32,24.7,27.3,35.8,24.7,29,22.3,75,0,0,0,,0,0,,17.2,143.9,1012.6,38.9,9.9,158.3,13.7,6,,2022-01-09T06:23:40,2022-01-09T17:42:31,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,E0758,98433099999,98425099999"
"Manila, National Capital Region, Philippines",2022-01-10,32,24,27.3,35.8,24,29.1,22.6,76.2,0,0,0,rain,0,0,16.6,16.6,243.3,1012.3,42.2,10.2,146,12.6,6,10,2022-01-10T06:23:54,2022-01-10T17:43:06,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
