name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
brussel,2022-01-01,14.1,10.2,12.1,14.1,10.2,12.1,9.3,83,0.002,100,4.17,rain,0,0,35.7,20.8,190.1,1023.1,71.8,33.7,32.9,1.2,1,,2022-01-01T08:45:08,2022-01-01T16:47:23,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06459099999,06439099999,06450099999,06447099999,06458099999,C9838,06451099999"
brussel,2022-01-02,13.2,9.4,11.9,13.2,5.9,11.8,8.3,78.7,9.963,100,25,rain,0,0,71.6,28.1,220,1014.9,92.4,33.2,35.5,1,1,,2022-01-02T08:45:01,2022-01-02T16:48:26,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06459099999,06439099999,06450099999,06447099999,06458099999,C9838,06451099999"
brussel,2022-01-03,10.4,7.8,9.4,10.4,5.1,7.4,7.2,86.2,9.968,100,25,rain,0,0,71.6,29.1,224.9,1011.8,94,20.1,13.8,0.6,0,,2022-01-03T08:44:51,2022-01-03T16:49:32,0.02,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06459099999,06439099999,D0152,06447099999,06458099999,C9838,06451099999"
brussel,2022-01-04,7.8,2.7,6.7,6.1,-0.8,4.4,5.5,92.2,8.75,100,33.33,rain,0,0,42.8,17.3,239.2,999.8,98,20.7,24,0.6,0,,2022-01-04T08:44:38,2022-01-04T16:50:41,0.06,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06459099999,06439099999,D0152,F4778,06447099999,06458099999,06451099999"
brussel,2022-01-05,5.4,1,3.3,2.3,-2.8,-0.2,1,85.2,2.928,100,16.67,rain,0,0,42.8,22.1,257.6,1009.6,76.2,20.6,28.9,0.8,1,,2022-01-05T08:44:22,2022-01-05T16:51:52,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,06439099999,D0152,06447099999,06458099999,C9838,06451099999"
brussel,2022-01-06,5.1,2.5,3.4,2.9,-1.3,0.7,1.4,86.7,0.993,100,8.33,rain,0,0,39.4,21.3,218.6,1019.3,77.7,15.9,42.7,1.4,1,,2022-01-06T08:44:03,2022-01-06T16:53:05,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,06439099999,D0152,06447099999,06458099999,C9838,06451099999"
brussel,2022-01-07,5.4,1.8,3.7,1.5,-2.1,-0.3,1.4,85.1,2.922,100,16.67,rain,0,0,57.3,28.5,211.9,1012.5,91.3,21,23.4,0.8,0,,2022-01-07T08:43:40,2022-01-07T16:54:21,0.15,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06459099999,06439099999,D0152,06447099999,06458099999,C9838,06451099999"
brussel,2022-01-08,6.7,1,3.6,5,-2.6,-0.1,2.3,91.2,7.531,100,25,rain,0,0,60.7,30.8,194.1,1005.5,86.9,14.5,18.6,0.6,0,,2022-01-08T08:43:15,2022-01-08T16:55:38,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,06439099999,F4778,06447099999,06458099999,C9838,06451099999"
brussel,2022-01-09,6.6,0.9,4.3,4.3,-1.5,1.3,1.9,84.7,8.106,100,16.67,rain,0,0,61,27.9,257.5,1001.6,60.4,19.5,36.4,1.2,1,,2022-01-09T08:42:46,2022-01-09T16:56:58,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,06439099999,06447099999,06458099999,C9838,06451099999"
brussel,2022-01-10,0.8,-1.7,-0.1,-1.7,-4.7,-2.9,-0.7,95.8,0.452,100,8.33,"rain,snow",0,0,21.5,13,169.3,1021.1,69.6,3.8,31.6,1.5,1,10,2022-01-10T08:42:14,2022-01-10T16:58:20,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"06459099999,06439099999,D0152,06447099999,06458099999,C9838,06451099999"
brussel,2022-01-11,6,0.1,2.2,3.6,-3.3,-0.6,-0.9,80.8,0,0,0,,0,0,25.1,13.7,172.4,1033,86.7,24,25.3,1.9,1,10,2022-01-11T08:41:39,2022-01-11T16:59:44,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06459099999,06439099999,06447099999,06458099999,C9838,06451099999"
brussel,2022-01-12,3.7,0.1,2.3,3.7,-3.2,1.3,1.2,92.4,0.19,100,16.67,"rain,snow",0,0,17.8,10.5,231.1,1039.7,97.7,4.4,15.8,1.1,0,10,2022-01-12T08:41:01,2022-01-12T17:01:09,0.32,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"06459099999,06439099999,D0152,06450099999,06447099999,06458099999,C9838,06451099999"
brussel,2022-01-13,5.4,-0.3,1.8,5.4,-2.8,0.9,0.9,93.5,0,0,0,,0,0,14.4,9.2,224.8,1041.7,74,3.2,25.6,2,1,10,2022-01-13T08:40:20,2022-01-13T17:02:37,0.35,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"06459099999,06439099999,D0152,06450099999,06447099999,06458099999,C9838,06451099999"
brussel,2022-01-14,7.1,0,3.1,7.1,-2.3,1.8,2,92.8,0,0,0,,0,0,21.2,11.2,228.2,1036.7,26.7,5.8,40.1,3.1,2,10,2022-01-14T08:39:36,2022-01-14T17:04:06,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06459099999,06439099999,D0152,06447099999,06458099999,C9838,06451099999"
brussel,2022-01-15,5.7,0.5,2.7,5.7,-2.9,1,1,88.6,0,0,0,,0,0,17.9,10.8,116.4,1028.4,77.9,6.1,18.4,1.3,1,10,2022-01-15T08:38:49,2022-01-15T17:05:36,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06459099999,06439099999,06447099999,06458099999,C9838,06451099999"
brussel,2022-01-16,3.5,1,2.5,0.5,-2,-0.8,1.8,94.7,0.62,100,8.33,rain,0,0,32.4,18.7,224.4,1027.4,93.7,4.1,9.7,0.7,0,10,2022-01-16T08:37:59,2022-01-16T17:07:08,0.45,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"06459099999,06439099999,D0152,06447099999,06458099999,C9838,06451099999"
brussel,2022-01-17,7.2,3.7,5.4,6.4,1.5,3.5,4.1,91.6,0.493,100,8.33,rain,0,0,25.3,14.5,253.5,1036,92.1,7,31.5,2.3,1,10,2022-01-17T08:37:07,2022-01-17T17:08:42,0.48,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06459099999,06439099999,D0152,06447099999,06458099999,C9838,06451099999"
brussel,2022-01-18,8.3,1.9,5.1,7.4,0,4.3,3.5,89.9,0.001,100,4.17,rain,0,0,21.2,9.4,81.4,1038.1,76.3,6.7,25,1.9,1,10,2022-01-18T08:36:11,2022-01-18T17:10:17,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"06459099999,06439099999,D0152,06450099999,06447099999,06458099999,C9838,06451099999"
brussel,2022-01-19,5.9,0.5,3.5,3.7,-2,0.9,2.1,90.9,0.491,100,12.5,rain,0,0,35.6,18,227.7,1027.3,80.4,7.8,8.7,0.6,0,10,2022-01-19T08:35:13,2022-01-19T17:11:53,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,06439099999,D0152,06447099999,06458099999,C9838,06451099999"
brussel,2022-01-20,5,2.5,3.6,1.9,-0.5,0.7,1.3,85.1,0.816,100,16.67,"rain,snow",0,0,56.8,21.6,308,1030.8,79.2,10.6,21.2,1.6,1,10,2022-01-20T08:34:13,2022-01-20T17:13:30,0.59,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"06459099999,06439099999,06447099999,06458099999,C9838,06451099999"
brussel,2022-01-21,5.1,0.1,2.8,2.7,-2.5,0.4,1.2,89.4,0.108,100,16.67,"rain,snow",0,0,25.3,11.9,274.7,1036.2,74.4,10.1,20.4,1.5,1,10,2022-01-21T08:33:09,2022-01-21T17:15:09,0.62,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"06459099999,06439099999,D0152,06447099999,06458099999,C9838,06451099999"
brussel,2022-01-22,5.5,3.7,4.7,4.7,1.2,2.7,2.7,87.4,0.235,100,4.17,rain,0,0,25,11.8,263,1036.3,98.3,9.6,14.1,0.9,0,10,2022-01-22T08:32:04,2022-01-22T17:16:48,0.66,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"06459099999,06439099999,D0152,06447099999,06458099999,C9838,06451099999"
brussel,2022-01-23,5.5,4,4.6,5.5,2.3,4,2,83.5,0,0,0,rain,0,0,21.3,10,149.1,1036.2,98.6,8.8,14.6,1.1,0,10,2022-01-23T08:30:55,2022-01-23T17:18:29,0.69,Overcast,Cloudy skies throughout the day.,cloudy,"06459099999,06439099999,D0152,06447099999,06458099999,C9838,06451099999"
brussel,2022-01-24,6.4,0.5,3.5,6.1,-1.5,2,0.1,78.7,0,0,0,,0,0,18,9.8,91.9,1034.3,41.7,9.5,13.1,1,1,10,2022-01-24T08:29:44,2022-01-24T17:20:10,0.73,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"06459099999,06439099999,F4778,06447099999,06458099999,C9838,06451099999"
brussel,2022-01-25,2,-1.1,0.4,2,-4,-1.2,-0.2,95.4,0.079,100,8.33,"rain,snow",0,0,17.9,9.8,82.5,1034.3,77.9,2.1,24.5,2,0,10,2022-01-25T08:28:31,2022-01-25T17:21:52,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"06459099999,06439099999,D0152,06450099999,06447099999,06458099999,C9838,06451099999"
brussel,2022-01-26,2.9,0.7,1.7,1.3,-2,-0.9,0.3,90.1,0.079,100,8.33,"rain,snow",0,0,32.1,17.6,228.5,1033.7,98,4.6,10.7,0.8,0,10,2022-01-26T08:27:16,2022-01-26T17:23:35,0.8,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"06459099999,06439099999,D0152,06447099999,06458099999,C9838,06451099999"
brussel,2022-01-27,8.5,3.3,5.6,6.2,-1.1,2.4,4,89.5,0.644,100,12.5,rain,0,0,43.1,23.3,238.8,1028.2,87.5,8,9.4,0.7,0,10,2022-01-27T08:25:58,2022-01-27T17:25:19,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06459099999,06439099999,D0152,06447099999,06458099999,C9838,06451099999"
brussel,2022-01-28,5.3,1.4,3.7,3.3,-1,1.4,2.9,94.9,1.712,100,12.5,rain,0,0,39,20.2,227.4,1035,73.3,6.6,42.3,3.4,2,10,2022-01-28T08:24:38,2022-01-28T17:27:03,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06459099999,06439099999,D0152,06450099999,F4778,06447099999,06458099999,06451099999"
brussel,2022-01-29,10.7,5.1,8.1,10.7,0.9,5.6,6.3,88.8,0.281,100,12.5,rain,0,0,50.3,26.6,240.8,1028.2,82.2,9.1,22,1.6,1,10,2022-01-29T08:23:15,2022-01-29T17:28:47,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"06459099999,06439099999,D0152,06450099999,F4778,06447099999,06458099999,C9838,06451099999"
brussel,2022-01-30,7.1,2.1,4.9,6.4,-0.1,2.7,1.6,79.8,0.017,100,8.33,rain,0,0,43.1,17.7,256.7,1030,51.7,10.5,21.4,1.7,1,10,2022-01-30T08:21:51,2022-01-30T17:30:33,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,06439099999,F4778,06447099999,06458099999,C9838,06451099999"
brussel,2022-01-31,6.1,2.9,5.1,2.4,-0.6,0.7,1.4,77.1,4.137,100,25,rain,0,0,71.1,37.8,285.1,1017.7,90.3,10,16.4,1.1,1,10,2022-01-31T08:20:24,2022-01-31T17:32:18,0.97,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06459099999,06439099999,06450099999,06447099999,06458099999,C9838,06451099999"
brussel,2022-02-01,9.7,2.3,5.9,7.3,-1,2.9,3.9,87,1.874,100,12.5,rain,0,0,60.8,20,255.3,1020.1,90.1,9.2,12.9,0.9,1,10,2022-02-01T08:18:56,2022-02-01T17:34:04,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06459099999,06439099999,D0152,06447099999,06458099999,C9838,06451099999"
brussel,2022-02-02,9.7,7.7,8.6,8.9,5.3,6.7,6.7,88.5,4.914,100,20.83,rain,0,0,46.4,18.7,272.8,1021.5,94.3,8.6,15.8,1.2,1,10,2022-02-02T08:17:25,2022-02-02T17:35:51,0.04,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06459099999,06439099999,D0152,F4778,06447099999,06458099999,C9838,06451099999"
brussel,2022-02-03,8.3,6.3,7.1,5.9,3,4.2,4.8,85.6,0.088,100,12.5,rain,0,0,42.7,21.1,220,1017.7,97.2,10.1,13.9,1,1,10,2022-02-03T08:15:53,2022-02-03T17:37:37,0.07,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06459099999,06439099999,06447099999,06458099999,C9838,06451099999"
brussel,2022-02-04,8.7,3.9,6.4,5.2,0,2.9,4.1,85.3,0.485,100,16.67,rain,0,0,61,33.9,227.5,1012.7,89.7,10.1,19.2,1.5,1,10,2022-02-04T08:14:18,2022-02-04T17:39:24,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,06439099999,06447099999,06458099999,C9838,06451099999"
brussel,2022-02-05,7.6,1.8,5,4.7,-1,1.7,1.2,76.6,1.678,100,12.5,rain,0,0,64.6,33.5,227.9,1021,34.9,11,21,1.5,1,10,2022-02-05T08:12:42,2022-02-05T17:41:11,0.14,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"06459099999,06439099999,F4778,06447099999,06458099999,C9838,06451099999"
brussel,2022-02-06,9.3,4.7,7.5,5.8,0.5,3.3,4.8,83.3,21.124,100,50,rain,0,0,95.6,40.6,239.4,1008.4,94.1,9.8,11.5,0.8,1,10,2022-02-06T08:11:04,2022-02-06T17:42:58,0.17,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06459099999,06439099999,D0152,F4778,06447099999,06458099999,C9838,06451099999"
brussel,2022-02-07,7.9,2.7,5.3,4.9,-0.6,1.8,0.2,69.9,2.304,100,8.33,rain,0,0,86.1,32.7,264.5,1023.9,37.2,11,20.2,1.5,1,10,2022-02-07T08:09:24,2022-02-07T17:44:46,0.2,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"06459099999,06439099999,06450099999,06447099999,06458099999,C9838,06451099999"
brussel,2022-02-08,10.2,6.1,8.4,10.2,3,5.9,6.4,87.5,0.563,100,20.83,rain,0,0,39.5,21.8,234,1029.2,97.5,10,20,1.5,1,10,2022-02-08T08:07:43,2022-02-08T17:46:33,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06459099999,06439099999,D0152,06447099999,C1923,06458099999,C9838,06451099999"
brussel,2022-02-09,11,7.3,9,11,5.3,7.4,5.6,79.5,0.146,100,12.5,rain,0,0,39.4,21.6,223,1026.5,93.7,10.8,30.8,2.3,1,10,2022-02-09T08:06:00,2022-02-09T17:48:20,0.27,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06459099999,06439099999,06450099999,F4778,06447099999,06458099999,C9838,06451099999"
brussel,2022-02-10,7.9,3.5,5.6,7.5,0.6,3.8,4.2,90.9,9.162,100,33.33,rain,0,0,32.4,15.4,246.7,1022.1,83.2,8.9,22,1.7,1,10,2022-02-10T08:04:15,2022-02-10T17:50:08,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,06439099999,D0152,06450099999,06447099999,C1923,06458099999,C9838,06451099999"
brussel,2022-02-11,7.3,0.5,3.7,5.2,-1.8,1.2,0.5,80.6,0.979,100,12.5,rain,0,0,32.5,21.2,279.9,1031,45.8,10.7,34.2,2.5,2,10,2022-02-11T08:02:29,2022-02-11T17:51:55,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,06439099999,06450099999,F4778,06447099999,06458099999,C9838,06451099999"
brussel,2022-02-12,7.4,-0.1,2.9,4.1,-4.6,-0.7,-2.5,69.4,0.009,100,4.17,"rain,snow",0,0,36,24.1,170.7,1028,53,11,23.8,1.7,2,10,2022-02-12T08:00:42,2022-02-12T17:53:42,0.36,"Snow, Rain, Partially cloudy",Clearing in the afternoon with early morning snow or rain.,rain,"06459099999,06439099999,D0152,06447099999,06458099999,C9838,06451099999"
brussel,2022-02-13,10.7,1.5,6.3,10.7,-3.4,3.1,0,64.5,0,0,0,,0,0,60.4,31.5,180.2,1011.4,63.6,11.2,36.2,2.6,2,10,2022-02-13T07:58:52,2022-02-13T17:55:29,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06459099999,06439099999,F4778,06447099999,06458099999,C9838,06451099999"
brussel,2022-02-14,10.7,5.9,9.1,10.7,3,7.2,4.4,73.1,0.995,100,12.5,rain,0,0,71.3,33.5,203.1,1001.8,80.1,10.9,26.8,2,1,10,2022-02-14T07:57:02,2022-02-14T17:57:16,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"06459099999,06439099999,06447099999,06458099999,C9838,06451099999"
brussel,2022-02-15,9.5,4.8,7.1,5.9,1.9,4,4.1,82.2,4.374,100,29.17,rain,0,0,57.3,29.5,219,1010.4,76.2,10.5,35.9,2.6,2,10,2022-02-15T07:55:10,2022-02-15T17:59:03,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06459099999,06439099999,06447099999,06458099999,C9838,06451099999"
brussel,2022-02-16,12.9,8.5,10.8,12.9,4.6,9.5,9.2,89.9,8.288,100,37.5,rain,0,0,75.5,38.9,223.7,1000.5,97.8,8.5,22.8,1.5,1,10,2022-02-16T07:53:17,2022-02-16T18:00:50,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06459099999,06439099999,D0152,06447099999,06458099999,C9838,06451099999"
brussel,2022-02-17,13.1,6.9,10,13.1,4.6,8.5,4.1,67.8,3.254,100,16.67,rain,0,0,85.7,41.6,255,1007.7,80.3,10.3,33.5,2.6,2,10,2022-02-17T07:51:23,2022-02-17T18:02:36,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,06439099999,06447099999,06458099999,C9838,06451099999"
brussel,2022-02-18,12.1,5.9,9,12.1,1.2,6.5,4.3,73.7,3.118,100,20.83,rain,0,0,104.4,46.7,222.7,1003.1,92.3,10.3,18,1.2,1,10,2022-02-18T07:49:27,2022-02-18T18:04:23,0.56,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06459099999,06439099999,F4778,06447099999,06458099999,C9838,06451099999"
brussel,2022-02-19,7.7,3.5,5.8,4,-0.3,1.7,0.7,70.2,0.446,100,20.83,rain,0,0,97.3,42.3,226.8,1012.7,59.3,10.5,35.5,2.7,2,10,2022-02-19T07:47:30,2022-02-19T18:06:09,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,06439099999,06447099999,06458099999,C9838,06451099999"
brussel,2022-02-20,11.1,6.5,9.2,11.1,4,6.8,6.3,82.6,5.934,100,29.17,rain,0,0,82.2,45.2,224.2,1008.1,94.7,9.4,12.2,0.9,0,10,2022-02-20T07:45:33,2022-02-20T18:07:55,0.63,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06459099999,06439099999,D0152,E9665,06447099999,06458099999,C9838,06451099999"
brussel,2022-02-21,8.3,4.2,6.4,4.8,-0.3,2.4,1.8,73,9.097,100,25,rain,0,0,93.5,37.7,264.4,1006.4,69.9,10.5,18.4,1.4,0,10,2022-02-21T07:43:34,2022-02-21T18:09:40,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,06439099999,06447099999,06458099999,C9838,06451099999"
brussel,2022-02-22,10.7,2.9,6.9,10.7,0.6,4.7,5.1,88.1,2.478,100,8.33,rain,0,0,57.3,32.5,236.5,1019.7,75.2,9.9,24.6,1.8,1,10,2022-02-22T07:41:34,2022-02-22T18:11:26,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"06459099999,06439099999,06447099999,06458099999,C9838,06451099999"
brussel,2022-02-23,11.3,2.5,7.3,11.3,0.2,5.6,2.4,73.1,0.609,100,8.33,rain,0,0,53.9,25.3,213.6,1024.5,32,11.1,45.9,3.5,3,10,2022-02-23T07:39:33,2022-02-23T18:13:11,0.75,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain clearing later.,rain,"06459099999,06439099999,06447099999,06458099999,C9838,06451099999"
brussel,2022-02-24,10.3,2.7,6.2,10.3,-2,3,2,75,3.437,100,16.67,"rain,snow",0,0,75.3,36.5,221.2,1013.8,73.4,11,32,2.3,1,10,2022-02-24T07:37:31,2022-02-24T18:14:56,0.78,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"06459099999,06439099999,06447099999,06458099999,C9838,06451099999"
brussel,2022-02-25,7.1,1.5,4.1,4.3,-2.3,0.8,0.5,77.4,2.081,100,16.67,rain,0,0,43.4,23.2,256,1024.7,36.8,10.9,30,2.2,1,10,2022-02-25T07:35:28,2022-02-25T18:16:40,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,06439099999,06447099999,06458099999,C9838,06451099999"
brussel,2022-02-26,8.6,-0.9,3.2,6.6,-2.4,1.6,-0.3,79.7,0.806,100,8.33,rain,0,0,28.7,14.4,129.2,1033.8,11.4,10.3,44.8,3.6,3,10,2022-02-26T07:33:24,2022-02-26T18:18:24,0.85,Rain,Clear conditions throughout the day with afternoon rain.,rain,"06459099999,06439099999,F4778,06447099999,06458099999,C9838,06451099999"
brussel,2022-02-27,10.9,-1,4.4,10.9,-4.3,1.9,-3.5,59.5,0,0,0,,0,0,42.9,24.4,115.1,1029.6,5.4,10.5,51.8,4,4,10,2022-02-27T07:31:20,2022-02-27T18:20:08,0.88,Clear,Clear conditions throughout the day.,clear-day,"06459099999,06439099999,06450099999,F4778,06447099999,06458099999,C9838,06451099999"
brussel,2022-02-28,10.9,1.1,5.4,10.9,-3.2,2.8,-3.7,53.3,0,0,0,,0,0,42,18.7,151.6,1029.4,12,10.8,56.4,4.3,4,10,2022-02-28T07:29:14,2022-02-28T18:21:52,0.92,Clear,Clear conditions throughout the day.,clear-day,"06459099999,06439099999,06450099999,06447099999,C9838,06458099999,06451099999"
brussel,2022-03-01,10.1,3.3,6.3,10.1,0.9,4.7,-1.7,57.1,0,0,0,,0,0,24.8,13.5,161.6,1027.6,74.2,11,40.5,3.1,2,10,2022-03-01T07:27:08,2022-03-01T18:23:35,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06459099999,06439099999,E9665,06447099999,06458099999,C9838,06451099999"
brussel,2022-03-02,11.4,3.2,6.4,11.4,1.4,5.5,-1.8,57.7,0.002,100,4.17,rain,0,0,21.6,10.6,90.1,1022.9,62.6,10.6,47,3.7,2,10,2022-03-02T07:25:01,2022-03-02T18:25:19,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06459099999,06439099999,06450099999,F4778,06447099999,06458099999,C9838,06451099999"
brussel,2022-03-03,13.5,1.3,6.8,13.5,-1,5.3,-1.7,55.3,0,0,0,,0,0,24.6,10.5,106.2,1017.9,28.8,10.6,72,5.7,4,10,2022-03-03T07:22:54,2022-03-03T18:27:01,0.02,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"06459099999,06439099999,D0152,06447099999,06458099999,C9838,06451099999"
brussel,2022-03-04,12.5,0.8,6,12.5,-2.3,4.3,-4,51.1,0,0,0,,0,0,24.7,11,99.4,1019.4,0,10.8,76.3,6,5,10,2022-03-04T07:20:46,2022-03-04T18:28:44,0.06,Clear,Clear conditions throughout the day.,clear-day,"06459099999,06439099999,D0152,06447099999,06458099999,C9838,06451099999"
brussel,2022-03-05,10.3,-1.1,4.6,10.3,-3.9,3.2,-3.6,57.7,0,0,0,,0,0,24.9,13.6,8.9,1020.4,0,10.2,77.9,6.1,5,10,2022-03-05T07:18:37,2022-03-05T18:30:26,0.09,Clear,Clear conditions throughout the day.,clear-day,"06459099999,06439099999,06447099999,06458099999,C9838,06451099999"
brussel,2022-03-06,6.7,-1.2,2.5,3.8,-6,-1,-3.5,65.9,0,0,0,,0,0,35.9,21.2,39.7,1025.2,6.7,9.6,84,6.6,4,10,2022-03-06T07:16:27,2022-03-06T18:32:08,0.12,Clear,Clear conditions throughout the day.,clear-day,"06459099999,06439099999,06447099999,06458099999,C9838,06451099999"
brussel,2022-03-07,6.1,-2.1,1.9,2.7,-6.3,-1.9,-5.8,58.4,0,0,0,,0,0,46.3,21.6,78.6,1025.5,0,10.9,84.5,6.9,5,10,2022-03-07T07:14:17,2022-03-07T18:33:50,0.15,Clear,Clear conditions throughout the day.,clear-day,"06459099999,06439099999,06450099999,F4778,06447099999,06458099999,C9838,06451099999"
brussel,2022-03-08,11.1,-2.5,4.2,11.1,-6.1,1.7,-7.5,45.6,0,0,0,,0,0,42.9,25.7,123,1020.3,0,11.1,86.4,7.4,5,10,2022-03-08T07:12:07,2022-03-08T18:35:31,0.18,Clear,Clear conditions throughout the day.,clear-day,"06459099999,06439099999,F4778,06447099999,06458099999,C9838,06451099999"
brussel,2022-03-09,15.1,3,8,15.1,-0.6,6.2,-4,43.1,0,0,0,,0,0,31.7,17.4,146,1021.4,0,10.8,88.6,7.7,5,10,2022-03-09T07:09:56,2022-03-09T18:37:13,0.22,Clear,Clear conditions throughout the day.,clear-day,"06459099999,06439099999,F4778,06447099999,06458099999,C9838,06451099999"
brussel,2022-03-10,16.5,5.9,10.2,16.5,2.6,8.8,-0.7,48.3,0,0,0,,0,0,32.4,20.5,141.7,1021.3,1.8,10.6,97.1,8.3,5,10,2022-03-10T07:07:45,2022-03-10T18:38:54,0.25,Clear,Clear conditions throughout the day.,clear-day,"06459099999,06439099999,F4778,06447099999,06458099999,C9838,06451099999"
brussel,2022-03-11,16.5,6,11,16.5,2.9,9.8,0.5,48.8,0.002,100,4.17,rain,0,0,46.7,30.6,145.7,1012.9,24.8,11.2,101.7,8.6,5,10,2022-03-11T07:05:33,2022-03-11T18:40:34,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06459099999,06439099999,D0152,F4778,06447099999,06458099999,C9838,06451099999"
brussel,2022-03-12,13.6,8.3,11,13.6,5.2,9.9,4.9,66.8,0.112,100,12.5,rain,0,0,46.5,25,170.3,1015,79.5,11.2,83,7.1,5,10,2022-03-12T07:03:21,2022-03-12T18:42:15,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,06439099999,D0152,06447099999,06458099999,C9838,06451099999"
brussel,2022-03-13,15.1,8.3,11.1,15.1,5.6,9.8,4.4,64.5,0.004,100,4.17,rain,0,0,49.9,27.1,163.8,1013.1,73.5,11,77.7,6.7,4,10,2022-03-13T07:01:08,2022-03-13T18:43:55,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06459099999,06439099999,F4778,06447099999,06458099999,C9838,06451099999"
